 Loading hOCR: 004_02_0.hocr...
Found 2658 words. Processing in batches of 400...

Batch 0-400 Processing...
   [OK] 'bas' -> 'has'

   [OK] 'ft' -> '1ft'

   [OK] 'refolutions' -> 'resolutions'

   [OK] 'Foreigne' -> 'Foreigners'

   [OK] 'diftinction' -> 'distinction'

   [OK] 'diftinétions' -> 'distinctions'

   [OK] 'Procia' -> 'Proclama'

   [OK] 'mations' -> 'tions'

   [OK] 'ult' -> 'ult.'

   [OK] 'ren' -> 'remove'

   [OK] 'ove' -> 'all'

   [OK] 'all' -> 'doubt'

   [OK] 'doubt' -> 'and'

   [OK] 'and' -> 'chicane'

   [OK] 'chicane' -> ','

   [OK] ',' -> 'it'

   [OK] 'it' -> 'shall'

   [OK] 'hail' -> 'be'

   [OK] 'be' -> 'made'

   [OK] 'made' -> 'known'

   [OK] 'known' -> 'to'

   [OK] 'to' -> 'all'

   [OK] 'all' -> 'those'

   [OK] 'those' -> 'who'

   [OK] 'who' -> 'present'

   [VETO] Orig: 'present' | AI: 'themfelves' | Reason: VETO_REVERSE_S_TO_F

   [OK] 'themfle' -> 'to'

   [OK] 'to' -> 'take'

   [OK] 'take' -> 'the'

   [OK] 'the' -> 'oath'

   [OK] 'oath' -> ','

   [OK] ',' -> 'or'

   [OK] 'or' -> 'who'

   [OK] 'who' -> 'refuse'

   [OK] 'refufe' -> 'to'

   [OK] 'to' -> 'take'

   [OK] 'take' -> 'it'

   [OK] 'it' -> ','

   [OK] ',' -> 'that'

   [OK] 'that' -> 'the'

   [OK] 'the' -> 'renunciation'

   [OK] 'renunciation' -> 'of'

   [OK] 'of' -> 'all'

   [OK] 'all' -> 'relation'

   [OK] 'relation' -> ','

   [OK] 'i' -> 'is'

   [OK] 'politica' -> 'political'

   [OK] 'ani' -> 'and'

   [OK] 'fubjection' -> 'subjection'

   [OK] 'domeftic' -> 'domestic'

   [OK] 'thir' -> 'their'

   [OK] 'Auguft' -> 'August'

   [OK] 'publ.fhed' -> 'published'

   [OK] 'ftating' -> 'stating'

   [OK] 'refiding' -> 'residing'

   [OK] 'fubmiffion' -> 'submission'

   [OK] 't' -> 'to'

   [OK] 'fay' -> 'say'

   [OK] 'unde' -> 'under'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'fchedule' -> 'schedule'

   [OK] 'tee' -> 'see'

   [OK] 'ufual' -> 'usual'

   [OK] 'iflue' -> 'issue'

   [OK] 'va' -> 'vapouring'

   [OK] 'pouring' -> 'tyranny'

   [OK] 'tyranny' -> '-'

   [VETO] Orig: '-' | AI: 'its' | Reason: VETO_HYPHEN_LOSS

   [OK] 'its' -> 'absurdities'

   [OK] 'abfurdities' -> 'return'

   [OK] 'return' -> 'with'

   [OK] 'with' -> 'shame'

   [OK] 'shame' -> 'on'

   [OK] 'on' -> 'its'

   [OK] 'its' -> 'own'

   [OK] 'own' -> 'head'

   [OK] 'head' -> '-'

   [VETO] Orig: '-' | AI: 'and' | Reason: VETO_HYPHEN_LOSS

   [OK] 'configned' -> 'consigned'

   [OK] 'everlafting' -> 'everlasting'

   [OK] 'Conftitutional' -> 'Constitutional'

   [OK] 'con' -> 'con-'

   [OK] 'ecration' -> 'secration'

   [OK] 'fend' -> 'send'

   [OK] 'tompanions' -> 'companions'

   [OK] 'fembly' -> 'sembly'
 Done. (83 changes applied)

Batch 400-800 Processing...
   [OK] 'fupported' -> 'supported'

   [OK] 'Thas' -> 'Thus'

   [OK] 'leaft' -> 'least'

   [OK] 'poft-' -> 'post-'

   [OK] 'Affembly' -> 'Assembly'

   [OK] 'propofition' -> 'proposition'

   [OK] 'Bruffels' -> 'Brussels'

   [OK] 'lefs' -> 'less'

   [OK] 'apprehen' -> 'apprehen-'

   [OK] 'Auftrian' -> 'Austrian'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'difpofition' -> 'disposition'

   [OK] 'inquire' -> 'to'

   [OK] 'into' -> 'inquire'

   [OK] 'the' -> 'into'

   [OK] 'causes' -> 'the'

   [OK] 'of' -> 'causes'

   [OK] 'the' -> 'of'

   [OK] 'war' -> 'the'

   [OK] ',' -> 'war'

   [OK] 'before' -> ','

   [OK] 'they' -> 'before'

   [OK] 'march' -> 'they'

   [OK] 'againt' -> 'march'

   [OK] 'France' -> 'against'

   [OK] '.' -> 'France'

   [OK] 'Darmitadt' -> 'Darmstadt'

   [OK] 'fubmit' -> 'submit'

   [OK] 'theic' -> 'their'

   [OK] 'teen' -> 'seen'

   [OK] 'meatures' -> 'measures'

   [OK] 'Affemblies' -> 'Assemblies'

   [OK] 'inftituted' -> 'instituted'

   [OK] 'felves' -> 'selves'

   [OK] 'difcipline' -> 'discipline'

   [OK] 'till' -> 'still'

   [OK] 'fufpicion' -> 'suspicion'

   [OK] 'fcrupulous' -> 'scrupulous'

   [OK] 'Volunt' -> 'Volunt-'

   [OK] 'p.ofeffed' -> 'professed'

   [OK] 'fubordination' -> 'subordination'

   [OK] 'refidence' -> 'residence'
 Done. (42 changes applied)

Batch 800-1200 Processing...
   [OK] 'fingular' -> 'singular'

   [OK] 'ftri' -> 'strict'

   [OK] 't' -> 'to'

   [OK] 'pofed' -> 'posed'

   [OK] 'Philofophy' -> 'Philosophy'

   [OK] 'Yomewhere' -> 'somewhere'

   [OK] 'modeft' -> 'modest'

   [OK] 'poft' -> 'post'

   [OK] 'feem' -> 'seem'

   [OK] 'tranferred' -> 'transferred'

   [OK] 'bonor' -> 'honor'

