Word ID,Unresolved Word
word_1_17_0_0_0,ㅍ
word_1_19_1_0_1,万
word_1_24_0_0_0,EORGE
word_1_24_1_6_7,thoüght
word_1_25_1_3_19,subsesting
word_1_25_4_1_1,d'annuller
word_1_25_4_1_5,dutraire
word_1_25_4_2_11,servitade
word_1_25_6_1_0,insued
word_1_27_0_2_0,neer
word_1_27_0_3_14,diree
word_1_28_0_0_24,purth
word_1_29_0_0_5,por
word_1_29_1_3_0,hec
word_1_29_1_3_8,voR
word_1_29_1_5_0,ourraid
word_1_29_1_7_0,timony
word_1_29_1_10_0,PARVOST
word_1_31_2_1_0,MONTAKAL
word_1_31_3_1_0,ner
word_1_35_2_3_0,treal
word_1_35_2_4_3,digrict
word_1_36_0_1_0,vidson
word_1_36_1_6_1,ninery
word_1_36_1_9_0,ther
word_1_36_1_11_2,contaming
word_1_36_1_14_0,cribed
word_1_36_1_18_4,het
word_1_36_1_20_9,hidder
word_1_36_1_21_7,afored
word_1_36_1_29_8,oposition
word_1_36_1_29_10,d'annuller
word_1_36_2_2_0,ser
word_1_36_2_3_0,witude
word_1_38_0_1_9,ke
word_1_39_0_0_0,drick
word_1_39_0_5_2,acenrding
word_1_39_1_2_1,hene
word_1_39_1_3_1,sed
word_1_39_1_4_0,vray
word_1_39_2_0_0,MSTAVISH
word_1_39_2_2_0,MORK
word_1_42_0_0_0,IVERPOOL
word_1_46_0_1_0,το
word_1_56_1_1_0,LOR
word_1_56_2_3_10,darnng
word_1_56_2_4_3,kuitting
word_1_56_2_6_0,bozes
word_1_56_2_9_0,LB
word_1_59_1_0_3,cyder
word_1_59_2_0_2,amorted
word_1_60_1_1_0,NPunched
word_1_64_0_1_0,ANDW
word_1_64_0_6_0,RDERED
word_1_66_0_0_0,Plainiging
word_1_66_0_0_2,chints
word_1_66_2_0_6,fyle
word_1_67_0_1_0,Oneber
word_1_68_0_0_0,Manity
word_1_70_1_1_0,Mpen
word_1_70_3_1_0,MOORE'S
word_1_70_3_2_8,genteely
word_1_70_3_2_9,accomo
word_1_70_6_0_0,COLTMANS
word_1_70_6_3_10,regliter
word_1_71_0_8_4,lollowing
word_1_71_0_8_9,muate
word_1_71_0_8_12,abo
word_1_71_0_12_15,thir
word_1_71_0_17_14,fifreen
word_1_71_0_19_2,ip
word_1_71_0_21_0,Lasalle
word_1_71_0_22_0,seited
word_1_71_0_22_12,ber
word_1_71_0_23_4,excep
word_1_71_0_24_0,UEL
word_1_71_0_24_11,tion
word_1_71_0_29_5,frout
word_1_71_0_34_0,FREDK
word_1_71_0_37_9,harn
word_1_71_0_38_24,incum
word_1_71_0_39_0,tuated
word_1_71_0_39_12,brance
word_1_71_0_39_16,sdvertised
word_1_71_0_41_5,arpeut
word_1_71_0_43_1,argents
word_1_71_0_43_5,boundeden
word_1_71_0_43_23,aße
word_1_71_0_43_33,riv
word_1_71_0_43_38,d'annuller
word_1_71_0_47_2,wond
word_1_71_0_47_9,purish
word_1_71_0_58_0,FREDE
word_1_72_0_0_3,perum
word_1_72_0_2_0,ther
word_1_72_0_2_3,incunibrance
word_1_72_0_3_0,tice
word_1_72_0_5_1,d'annuller
word_1_75_0_1_0,Dissued
word_1_75_1_4_4,decessed
word_1_75_1_9_0,catit
word_1_75_1_18_11,stom
word_1_76_0_2_0,Beuch
word_1_76_0_4_0,treal
word_1_76_0_9_0,benients
word_1_76_0_11_0,Frienne
word_1_76_0_11_12,ingham
word_1_76_0_11_26,recher
word_1_76_0_12_2,comencenen
word_1_76_0_12_3,biene
word_1_76_0_12_20,nunilber
word_1_76_0_12_32,twn
word_1_76_0_12_34,ewenty
word_1_76_0_13_0,Couturies
word_1_76_0_13_24,nowher
word_1_76_2_11_6,martgage
word_1_76_2_14_5,afis
word_1_76_2_14_6,fannuller
word_1_76_2_14_10,distraive
word_1_77_0_0_0,pault
word_1_78_0_0_2,theren
word_1_78_0_1_16,streitude
word_1_78_0_3_0,Vaudreuil
word_1_83_0_0_0,Oskum
word_1_84_2_0_0,Capston
word_1_84_9_0_1,ihds
word_1_86_0_0_10,dez
word_1_86_1_0_1,doz
word_1_89_0_0_11,boi
word_1_89_0_1_0,ling
word_1_89_0_1_5,ot
word_1_91_0_0_0,BREHAUT
word_1_93_1_0_2,buttled
word_1_95_0_0_0,Coniac
word_1_99_1_0_0,ROGERSON
word_1_99_2_1_3,parsoos
word_1_99_4_0_0,Fogland
word_1_99_4_1_2,welve
word_1_100_0_0_1,inmediate
word_1_101_0_1_0,THOS
word_1_103_0_0_0,NOFFICE
word_1_104_0_0_0,LL
word_1_104_1_0_1,cribers
word_1_104_1_0_9,imme
word_1_104_1_1_0,diate
word_1_104_2_4_0,GOWEN
word_1_107_0_1_3,vagant
word_1_107_0_3_0,GLENNY
word_1_108_1_1_0,gainst
word_1_108_1_3_0,GLANSY
word_1_108_1_3_3,fyle
word_1_108_3_1_0,Nublanding
word_1_108_4_2_0,da
word_1_109_1_0_0,Men's
word_1_113_0_0_0,Porniture
word_1_114_0_0_0,ALLSO
word_1_114_0_0_5,llrigs
word_1_114_3_0_2,mix'd
word_1_119_0_0_0,UST
word_1_119_0_2_5,comunon
word_1_119_0_2_9,colours
word_1_119_0_3_7,alio
word_1_121_0_0_0,IGHT
word_1_121_1_1_0,lity
word_1_121_4_0_1,pesticid
word_1_121_4_2_6,oupply
word_1_121_4_3_0,Lundun
word_1_121_4_3_7,caskeand
word_1_121_4_7_0,rits
word_1_121_5_0_7,clay'd
word_1_121_5_1_11,esch
word_1_121_5_3_10,dibner
word_1_121_5_4_0,ervice
word_1_121_5_5_9,dile
word_1_121_5_6_9,δια
word_1_121_6_2_0,Quebre
