ID,Original,Manual,AI,Status
word_1_6_1_1_0,Reliven,deliven,to deliver,WRONG_FIX
word_1_6_1_1_5,Majely,Majesty,Majesty,CORRECT_FIX
word_1_8_0_0_9,Houfe,House,House,CORRECT_FIX
word_1_8_0_0_12,ufual,ufual,usual,FALSE_POSITIVE
word_1_12_0_0_2,Majefly,Majestly,Majesty,WRONG_FIX
word_1_12_0_0_7,fapplies,supplies,supplies,CORRECT_FIX
word_1_12_0_1_9,fupported,fupported,supported,FALSE_POSITIVE
word_1_12_0_2_2,firmnefs,firmness,firmness,CORRECT_FIX
word_1_12_0_3_7,Houfe,House,House,CORRECT_FIX
word_1_12_0_3_9,confi-,consi-,confi-,MISSED_FIX
word_1_12_0_4_6,ceconomy,ceconomy,oeconomy,FALSE_POSITIVE
word_1_12_0_7_3,eftablishment,establishment,establishment,CORRECT_FIX
word_1_12_0_7_8,fhortly,shortly,shortly,CORRECT_FIX
word_1_12_0_8_1,Houfe,House,House,CORRECT_FIX
word_1_12_0_8_3,defiring,desiring,desiring,CORRECT_FIX
word_1_12_0_8_5,affiftance,affistance,assistance,WRONG_FIX
word_1_12_0_8_9,fame,same,fame,MISSED_FIX
word_1_12_0_9_4,Majefly,Majestly,Majesty,WRONG_FIX
word_1_12_0_9_7,referves,reserves,reserves,CORRECT_FIX
word_1_12_0_10_3,refts,rests,rests,CORRECT_FIX
word_1_12_0_10_6,fure,fure,sure,FALSE_POSITIVE
word_1_12_0_10_10,belt,best,belt,MISSED_FIX
word_1_12_0_10_11,fupport,support,support,CORRECT_FIX
word_1_12_0_12_1,refource,resource,resource,CORRECT_FIX
word_1_12_0_12_13,folid,solid,solid,CORRECT_FIX
word_1_12_0_13_2,ftable,stable,stable,CORRECT_FIX
word_1_12_0_13_3,fecurity,security,security,CORRECT_FIX
word_1_12_0_13_7,provifion,provifion,provision,FALSE_POSITIVE
word_1_12_1_0_4,meffage,message,message,CORRECT_FIX
word_1_12_1_1_2,rofe,rose,rose,CORRECT_FIX
word_1_12_1_1_11,Majelly's,Majesty's,Majesty's,CORRECT_FIX
word_1_12_1_2_0,meffage,message,message,CORRECT_FIX
word_1_12_1_2_3,Houfe,House,House,CORRECT_FIX
word_1_12_1_3_3,exprefs,express,express,CORRECT_FIX
