Source File,Original Word,AI Corrected Word,Change Type
004_02_0.hocr,DIEL,DIEU,REPLACED
004_02_0.hocr,BROIT,DROIT,REPLACED
004_02_0.hocr,bas,has,REPLACED
004_02_0.hocr,feverity,severity,REPLACED
004_02_0.hocr,ft,1st,REPLACED
004_02_0.hocr,46,“,REPLACED
004_02_0.hocr,ON,IN,REPLACED
004_02_0.hocr,refolutions,resolutions,REPLACED
004_02_0.hocr,Foreigne,Foreigner,REPLACED
004_02_0.hocr,diftinction,distinction,REPLACED
004_02_0.hocr,diftinétions,distinctions,REPLACED
004_02_0.hocr,Procia,Procla-,REPLACED
004_02_0.hocr,20th,"20th,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,29th,29th.,REPLACED
004_02_0.hocr,.,"July,",REPLACED
004_02_0.hocr,July,ult.,REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,ult,,REPLACED
004_02_0.hocr,.,,REPLACED
004_02_0.hocr,declares,"declares,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,ren,rem-,REPLACED
004_02_0.hocr,chicane,"chicane,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,hail,shall,REPLACED
004_02_0.hocr,themfle,themselves,REPLACED
004_02_0.hocr,oath,"oath,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,refufe,refuse,REPLACED
004_02_0.hocr,it,"it,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,relation,"relation,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,with,"with,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,country,"country,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,birth,"birth,",REPLACED
004_02_0.hocr,",",is,REPLACED
004_02_0.hocr,i,,REPLACED
004_02_0.hocr,explained,explained-,REPLACED
004_02_0.hocr,politica,political,REPLACED
004_02_0.hocr,matters,"matters,",REPLACED
004_02_0.hocr,",",to,REPLACED
004_02_0.hocr,to,"government,",REPLACED
004_02_0.hocr,government,and,REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,ani,,REPLACED
004_02_0.hocr,fubjection,subjection;,REPLACED
004_02_0.hocr,;,,REPLACED
004_02_0.hocr,domeftic,domestic,REPLACED
004_02_0.hocr,thir,their,REPLACED
004_02_0.hocr,Auguft,August,REPLACED
004_02_0.hocr,publ.fhed,published,REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,ftating,stating,REPLACED
004_02_0.hocr,refiding,residing,REPLACED
004_02_0.hocr,fubmiffion,submission,REPLACED
004_02_0.hocr,t,to,REPLACED
004_02_0.hocr,fay,say,REPLACED
004_02_0.hocr,unde,under,REPLACED
004_02_0.hocr,expreffed,expressed,REPLACED
004_02_0.hocr,fchedule,schedule,REPLACED
004_02_0.hocr,tee,see,REPLACED
004_02_0.hocr,the,the,REPLACED
004_02_0.hocr,ufual,usual,REPLACED
004_02_0.hocr,iflue,issue,REPLACED
004_02_0.hocr,of,of,REPLACED
004_02_0.hocr,va,va-,REPLACED
004_02_0.hocr,abfurdities,absurdities,REPLACED
004_02_0.hocr,configned,consigned,REPLACED
004_02_0.hocr,to,to,REPLACED
004_02_0.hocr,everlafting,everlasting,REPLACED
004_02_0.hocr,Conftitutional,Constitutional,REPLACED
004_02_0.hocr,con,con-,REPLACED
004_02_0.hocr,ecration,secration,REPLACED
004_02_0.hocr,fend,send,REPLACED
004_02_0.hocr,tompanions,companions,REPLACED
004_02_0.hocr,Af-,As-,REPLACED
004_02_0.hocr,fembly,sembly,REPLACED
004_02_0.hocr,promul,promul-,REPLACED
004_02_0.hocr,.,"gated,",REPLACED
004_02_0.hocr,gated,"supported,",REPLACED
004_02_0.hocr,",","obeyed,",REPLACED
004_02_0.hocr,fupported,,REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,obeyed,,REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,Decrees,Decrees.,REPLACED
004_02_0.hocr,.,,REPLACED
004_02_0.hocr,Thas,Thus,REPLACED
004_02_0.hocr,company,"company,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,leaft,"least,",REPLACED
004_02_0.hocr,",",,REPLACED
004_02_0.hocr,Devil,Devil.,REPLACED
004_02_0.hocr,.,,REPLACED
004_02_0.hocr,FRANCE,FRANCE.,REPLACED
