 Loading hOCR: 004_02_0.hocr...
Found 2658 words. Processing in batches of 400...

Batch 0-400 Processing...
   [OK] 'DIEL' -> 'DIEU'

   [OK] 'BROIT' -> 'DROIT'

   [OK] 'bas' -> 'has'

   [OK] 'feverity' -> 'severity'

   [OK] 'ft' -> '1st'

   [OK] 'ON' -> 'IN'

   [OK] 'refolutions' -> 'resolutions'

   [OK] 'Foreigne' -> 'Foreigners'

   [OK] 's' -> ''

   [OK] 'diftinction' -> 'distinction'

   [OK] 'diftinétions' -> 'distinctions'

   [OK] 'Procia' -> 'Proclamations'

   [OK] 'mations' -> ''

   [OK] 'ren' -> 'remove'

   [OK] 'ove' -> ''

   [OK] 'hail' -> 'shall'

   [OK] 'themfle' -> 'themselves'

   [OK] 'to' -> ''

   [OK] 'refufe' -> 'refuse'

   [OK] 'i' -> 'is'

   [OK] 'politica' -> 'political'

   [OK] 'ani' -> 'and'

   [OK] 'fubjection' -> 'subjection'

   [OK] 'domeftic' -> 'domestic'

   [OK] 'thir' -> 'their'

   [OK] 'Auguft' -> 'August'

   [OK] 'publ.fhed' -> 'published'

   [OK] 'ftating' -> 'stating'

   [OK] 'refiding' -> 'residing'

   [OK] 'fubmiffion' -> 'submission'

   [OK] 't' -> 'to'

   [OK] 'fay' -> 'say'

   [OK] 'unde' -> 'under'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'fchedule' -> 'schedule'

   [OK] 'tee' -> 'see'

   [OK] 'ufual' -> 'usual'

   [OK] 'iflue' -> 'issue'

   [OK] 'va' -> 'vapouring'

   [OK] 'pouring' -> ''

   [OK] 'abfurdities' -> 'absurdities'

   [OK] 'configned' -> 'consigned'

   [OK] 'everlafting' -> 'everlasting'

   [OK] 'Conftitutional' -> 'Constitutional'

   [VETO] Orig: 'aid-' | AI: 'aiding' | Reason: VETO_HYPHEN_LOSS

   [OK] 'ing' -> ''

   [OK] 'con' -> 'consecration'

   [OK] 'ecration' -> ''

   [OK] 'fend' -> 'send'

   [OK] 'tompanions' -> 'companions'

   [VETO] Orig: 'Af-' | AI: 'Assembly' | Reason: VETO_HYPHEN_LOSS

   [OK] 'fembly' -> ''
 Done. (50 changes applied)

Batch 400-800 Processing...
   [OK] 'promul' -> 'promul-'

   [OK] '.' -> ''

   [OK] 'fupported' -> 'supported'

   [VETO] Orig: '-' | AI: 'Thus' | Reason: VETO_HYPHEN_LOSS

   [OK] 'Thas' -> ''

   [OK] 'leaft' -> 'least'

   [OK] 'poft-' -> 'post-'

   [OK] 'Affembly' -> 'Assembly'

   [OK] 'propofition' -> 'proposition'

   [OK] 'Bruffels' -> 'Brussels'

   [OK] 'lefs' -> 'less'

   [OK] 'apprehen' -> 'apprehen-'

   [OK] '.' -> ''

   [OK] 'Give' -> 'sive'

   [OK] 'Auftrian' -> 'Austrian'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'difpofition' -> 'disposition'

   [OK] 'againt' -> 'against'

   [OK] 'Darmitadt' -> 'Darmstadt'

   [OK] 'fubmit' -> 'submit'

   [OK] 'theic' -> 'these'

   [OK] 'teen' -> 'seen'

   [OK] 'meatures' -> 'measures'

   [OK] 'Affemblies' -> 'Assemblies'

   [OK] 'inftituted' -> 'instituted'

   [OK] 'them' -> 'them-'

   [OK] '.' -> ''

   [OK] 'felves' -> 'selves'

   [OK] 'difcipline' -> 'discipline'

   [OK] 'till' -> 'still'

   [OK] 'fufpicion' -> 'suspicion'

   [OK] 'fcrupulous' -> 'scrupulous'

