Image,ID,Original,Manual,AI,Status
005_01_2,word_1_0_0_0_2,gellel,gellel,vessel,FALSE_POSITIVE
005_01_2,word_1_0_0_0_3,arrive,arrivel,arrived,WRONG_FIX
005_01_2,word_1_1_0_0_1,JRY,January,January,CORRECT_FIX
005_01_2,word_1_2_0_0_0,Nw,Nw,New,FALSE_POSITIVE
005_01_2,word_1_2_0_0_9,Amfterdam,Amsterdam,Amsterdam,CORRECT_FIX
005_01_2,word_1_2_0_1_0,Dajch,Dajch,Dutch,FALSE_POSITIVE
005_01_2,word_1_2_0_1_9,Bagh,English,English,CORRECT_FIX
005_01_2,word_1_2_0_1_13,a7n,27n,27th,WRONG_FIX
005_01_2,word_1_2_0_1_16,fame,same,same,CORRECT_FIX
005_01_2,word_1_2_1_0_3,Sth,Sth,8th,FALSE_POSITIVE
005_01_2,word_1_2_1_0_9,fed,fixed,fixed,CORRECT_FIX
005_01_2,word_1_2_1_0_12,Pruilian,Pruilian,Prussian,FALSE_POSITIVE
005_01_2,word_1_2_1_0_13,Maiefly,Maiefly,Majesty,FALSE_POSITIVE
005_01_2,word_1_2_1_0_16,comencemment,comencemment,commencement,FALSE_POSITIVE
005_01_2,word_1_2_1_1_1,Holipties,Holipties,Hostilities,FALSE_POSITIVE
005_01_2,word_1_2_1_1_4,cafe,cafe,case,FALSE_POSITIVE
005_01_2,word_1_2_1_3_1,ade,ade,made,FALSE_POSITIVE
005_01_2,word_1_2_1_3_3,Pria,Pria,Prussia,FALSE_POSITIVE
005_01_2,word_1_2_1_3_5,wiharaw,wiharaw,withdraw,FALSE_POSITIVE
005_01_2,word_1_2_1_3_6,she,she,the,FALSE_POSITIVE
005_01_2,word_1_2_1_5_0,gives,gives,given,FALSE_POSITIVE
005_01_2,word_1_2_1_5_7,hoftile,hoftile,hostile,FALSE_POSITIVE
005_01_2,word_1_2_1_5_9,or,or,of,FALSE_POSITIVE
005_01_2,word_1_2_1_5_10,cousie,cousie,course,FALSE_POSITIVE
005_01_2,word_1_2_1_6_0,Pruilian,Pruilian,Prussian,FALSE_POSITIVE
005_01_2,word_1_2_1_7_0,exrendes,extended,extends,WRONG_FIX
005_01_2,word_1_2_1_9_0,Frech,Frech,French,FALSE_POSITIVE
005_01_2,word_1_2_1_9_5,that,that,in,FALSE_POSITIVE
005_01_2,word_1_2_1_9_6,polition,polition,that,FALSE_POSITIVE
005_01_2,word_1_2_1_9_7,",",",","position,",FALSE_POSITIVE
005_01_2,word_1_2_1_11_0,theft,theft,the left,FALSE_POSITIVE
005_01_2,word_1_2_1_11_3,Pfullime,Pfullime,Prussians,FALSE_POSITIVE
005_01_2,word_1_2_1_11_5,bobsaftein,bobsaftein,Lobenstein,FALSE_POSITIVE
005_01_2,word_1_2_1_11_7,Schletiz,Schletiz,Schleitz,FALSE_POSITIVE
005_01_2,word_1_2_1_12_2,se,se,se-,FALSE_POSITIVE
005_01_2,word_1_2_1_13_0,vets,vets,veral actions,FALSE_POSITIVE
