Source File,Original Word,AI Corrected Word,Change Type
004_02_0.hocr,DIEL,DIEU,REPLACED
004_02_0.hocr,BROIT,DROIT,REPLACED
004_02_0.hocr,bas,has,REPLACED
004_02_0.hocr,feverity,severity,REPLACED
004_02_0.hocr,ft,1st,REPLACED
004_02_0.hocr,46,IN,REPLACED
004_02_0.hocr,ON,,REPLACED
004_02_0.hocr,of,consequence,REPLACED
004_02_0.hocr,the,the,REPLACED
004_02_0.hocr,refolutions,resolutions,REPLACED
004_02_0.hocr,Foreigne,Foreigners,REPLACED
004_02_0.hocr,s,,REPLACED
004_02_0.hocr,diftinction,distinction,REPLACED
004_02_0.hocr,of,inhabitants,REPLACED
004_02_0.hocr,diftinétions,distinctions,REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,,and,REPLACED
004_02_0.hocr,,notices,REPLACED
004_02_0.hocr,Procia,Procla-,REPLACED
004_02_0.hocr,ren,rem-,REPLACED
004_02_0.hocr,hail,shall,REPLACED
004_02_0.hocr,themfle,themselve,REPLACED
004_02_0.hocr,refufe,refuse,REPLACED
004_02_0.hocr,i,is,REPLACED
004_02_0.hocr,politica,political,REPLACED
004_02_0.hocr,ani,and,REPLACED
004_02_0.hocr,fubjection,subjection,REPLACED
004_02_0.hocr,domeftic,domestic,REPLACED
004_02_0.hocr,thir,their,REPLACED
004_02_0.hocr,Auguft,August,REPLACED
004_02_0.hocr,publ.fhed,published,REPLACED
004_02_0.hocr,",",",",REPLACED
004_02_0.hocr,ftating,stating,REPLACED
004_02_0.hocr,refiding,residing,REPLACED
004_02_0.hocr,fubmiffion,submission,REPLACED
004_02_0.hocr,t,to,REPLACED
004_02_0.hocr,fay,say,REPLACED
004_02_0.hocr,unde,under,REPLACED
004_02_0.hocr,expreffed,expressed,REPLACED
004_02_0.hocr,in,in,REPLACED
004_02_0.hocr,the,the,REPLACED
004_02_0.hocr,fchedule,schedule,REPLACED
004_02_0.hocr,tee,see,REPLACED
004_02_0.hocr,the,the,REPLACED
004_02_0.hocr,ufual,usual,REPLACED
004_02_0.hocr,iflue,issue,REPLACED
004_02_0.hocr,abfurdities,absurdities,REPLACED
004_02_0.hocr,configned,consigned,REPLACED
004_02_0.hocr,to,to,REPLACED
004_02_0.hocr,everlafting,everlasting,REPLACED
004_02_0.hocr,Conftitutional,Constitutional,REPLACED
004_02_0.hocr,ecration,secration,REPLACED
004_02_0.hocr,fend,send,REPLACED
004_02_0.hocr,tompanions,companions,REPLACED
004_02_0.hocr,Af-,As-,REPLACED
004_02_0.hocr,fembly,sembly,REPLACED
004_02_0.hocr,promul,promul-,REPLACED
004_02_0.hocr,.,,REPLACED
004_02_0.hocr,fupported,supported,REPLACED
004_02_0.hocr,Thas,Thus,REPLACED
004_02_0.hocr,leaft,least,REPLACED
004_02_0.hocr,poft-,post-,REPLACED
004_02_0.hocr,Affembly,Assembly,REPLACED
004_02_0.hocr,propofition,proposition,REPLACED
004_02_0.hocr,Bruffels,Brussels,REPLACED
004_02_0.hocr,lefs,less,REPLACED
004_02_0.hocr,apprehen,apprehen-,REPLACED
004_02_0.hocr,.,sive,REPLACED
004_02_0.hocr,Give,,REPLACED
004_02_0.hocr,Auftrian,Austrian,REPLACED
004_02_0.hocr,expreffed,expressed,REPLACED
004_02_0.hocr,difpofition,disposition,REPLACED
004_02_0.hocr,,to,REPLACED
004_02_0.hocr,againt,against,REPLACED
004_02_0.hocr,Darmitadt,Darmstadt,REPLACED
004_02_0.hocr,officers,,DELETED
004_02_0.hocr,fubmit,submit,REPLACED
004_02_0.hocr,theic,these,REPLACED
004_02_0.hocr,teen,seen,REPLACED
004_02_0.hocr,meatures,measures,REPLACED
004_02_0.hocr,Affemblies,Assemblies,REPLACED
004_02_0.hocr,inftituted,instituted,REPLACED
004_02_0.hocr,.,-,REPLACED
004_02_0.hocr,felves,selves,REPLACED
004_02_0.hocr,difcipline,discipline,REPLACED
004_02_0.hocr,till,still,REPLACED
004_02_0.hocr,fufpicion,suspicion,REPLACED
004_02_0.hocr,fcrupulous,scrupulous,REPLACED
004_02_0.hocr,Volunt,Volunt-,REPLACED
004_02_0.hocr,p.ofeffed,professed,REPLACED
004_02_0.hocr,fubordination,subordination,REPLACED
004_02_0.hocr,CHARTERS,CHARTRES,REPLACED
004_02_0.hocr,est,est-,REPLACED
004_02_0.hocr,refidence,residence,REPLACED
004_02_0.hocr,fingular,singular,REPLACED
